url,label
https://www.google.com,0
https://www.facebook.com/login,0
https://www.amazon.in/gp/product/B08,0
https://in.linkedin.com/in/some-user,0
https://stackoverflow.com/questions/12345,0
http://example.com/about,0
https://docs.python.org/3/,0
https://www.tutorialspoint.com,0
https://github.com/username/repo,0
https://www.ndtv.com/latest,0
http://secure-login-google.com/verify,1
http://login-facebook-security.com/confirm,1
http://paypal-secure-login.xyz/auth,1
http://verify-account-google.com/secure,1
http://bankofindia-verify.com/login,1
http://free-gift-amazon.com/claim,1
http://xn--goog1e-8s2b.com,1
http://192.168.0.1/login,1
http://secure-paypal-update.com,1
http://verify-account-1234.com,1
url,label
https://www.apple.net,0
https://facebook.dev,0
https://app.netflix.net,0
http://132.22.208.15/login,1
https://app.amazon.io/login,0
http://97.111.38.208/login,1
https://instagram.io/kfff5vaspss,0
https://app.amazon.dev,0
https://api.netflix.net/7wmk111t1t3,0
http://app3e-secure-login.site/682vcxumc/gjvu,1
http://bit.ly/7mp2n5,1
https://app.paypal.dev/hty6qsfdp/1sunnus5fd,0
https://secure-apple-login.info/7uzdnxs2/jwjek8b9/b73hxabs,1
https://instagram.in/login,0
https://www.instagram.ai/ojjscic12/uxte2m,0
https://app.amazon.net/login,0
https://apple.co,0
http://netflix.com.verify-account.xyz/s63f/19pg3/aoh2pc,1
https://blog.facebook.io/1u3haf5b8edz,0
https://blog.twitter.io,0
https://api.facebook.dev/login,0
http://bit.ly/h3hysu,1
https://blog.google.org/m7wzo/qsg4hg6i87vm/kpiq,0
https://secure-netflix-login.xyz/25rkvei,1
http://156.71.168.56/login,1
https://app.twitter.com/login,0
https://api.instagram.org/b1ow6/jlck3ka5ccty/fd2v3t32,0
http://bit.ly/ntsi6u,1
https://api.google.dev/tniq2wt,0
https://blog.microsoft.co/g8vs84n/kocyznbom86,0
http://bit.ly/enk85u,1
https://blog.twitter.in/7dnre,0
https://blog.google.dev/32964,0
http://instagram-secure-login.biz/7tsz1mr0/xzhkrpfq5ir,1
http://107.174.73.119/login,1
https://blog.twitter.io/iowbu/tlkuor3xh/3airqszq2ap,0
https://blog.paypal.net/v1ich8ph9lp/31rq5aef,0
https://app.netflix.io,0
https://www.google.ai,0
https://www.twitter.co/3mb,0
https://api.google.in/6pdxy2i20zcu,0
https://api.microsoft.net/5fs80esq0tl,0
http://ouydgpbc.xyz/00f09a%2Fed9d7f40%2Fdf944%2F4566f%2F8896,1
https://twitter.org,0
http://google.com.verify-login.xyz/,1
https://secure-paypal-login.cf/5rbz,1
